datetime,station_id,rain_3h,rain_zscore,flood_risk_label,extreme_tier,temp,pressure,humidity
2000-01-31 18:00:00,98444,19.0,1.2508756884271592,MODERATE,extreme,22.2,1013.5,97.6
2000-01-31 21:00:00,98444,40.0,2.8592950381778817,HIGH,catastrophic,22.5,1012.9,98.2
2000-02-01 00:00:00,98444,96.0,7.148413304179809,EXTREME,catastrophic,23.6,1014.7,98.8
2000-02-01 03:00:00,98444,24.0,1.6338326764630455,EXTREME,extreme,23.6,1014.9,98.8
2000-02-01 06:00:00,98444,34.0,2.3997466525348186,EXTREME,catastrophic,24.8,1011.5,94.8
2000-02-01 09:00:00,98444,19.0,1.2508756884271592,EXTREME,extreme,24.0,1011.3,97.0
2000-02-01 15:00:00,98444,6.0,0.25518751953385477,EXTREME,extreme,23.8,1013.5,95.9
2000-02-01 18:00:00,98444,12.0,0.7147359051769183,EXTREME,extreme,23.3,1012.3,99.4
2000-02-01 21:00:00,98444,2.0,-0.05117807089485435,EXTREME,extreme,24.1,1011.3,93.6
2000-02-02 00:00:00,98444,77.0,5.693176749643441,EXTREME,catastrophic,25.0,1013.5,76.1
2000-02-02 06:00:00,98444,4.0,0.1020047243195002,EXTREME,extreme,25.4,1011.2,92.5
2000-02-02 12:00:00,98444,3.0,0.025413326712322923,EXTREME,extreme,24.7,1013.2,93.6
2000-02-03 00:00:00,98444,53.0,3.8549832070711862,EXTREME,catastrophic,24.8,1012.0,95.3
2000-02-03 06:00:00,98444,43.0,3.0890692309994137,EXTREME,catastrophic,23.8,1010.6,97.0
2000-02-03 09:00:00,98444,24.0,1.6338326764630455,EXTREME,extreme,23.8,1010.3,98.8
2000-02-03 12:00:00,98444,32.0,2.2465638573204636,EXTREME,catastrophic,23.8,1011.3,98.8
2000-02-03 15:00:00,98444,3.0,0.025413326712322923,EXTREME,extreme,23.5,1011.9,99.4
2000-02-03 18:00:00,98444,10.0,0.5615531099625638,EXTREME,extreme,23.7,1011.2,98.8
2000-02-03 21:00:00,98444,5.0,0.17859612192667748,EXTREME,extreme,24.0,1010.2,99.4
2000-02-04 00:00:00,98444,90.0,6.688864918536745,EXTREME,catastrophic,24.0,1012.2,93.6
2000-02-04 06:00:00,98444,7.0,0.331778917141032,EXTREME,extreme,26.2,1009.0,94.2
2000-02-04 09:00:00,98444,12.0,0.7147359051769183,EXTREME,extreme,24.6,1008.6,95.3
2000-02-04 12:00:00,98444,36.0,2.5529294477491726,EXTREME,catastrophic,24.0,1010.1,98.8
2000-02-04 18:00:00,98444,10.0,0.5615531099625638,EXTREME,extreme,23.7,1011.2,98.8
2000-02-04 21:00:00,98444,1.0,-0.1277694685020316,EXTREME,extreme,23.8,1007.9,95.9
2000-02-05 00:00:00,98444,147.0,11.05457458214585,EXTREME,catastrophic,24.8,1010.6,91.9
2000-02-05 03:00:00,98444,1.0,-0.1277694685020316,EXTREME,extreme,27.0,1011.0,89.9
2000-02-05 06:00:00,98444,4.0,0.1020047243195002,EXTREME,extreme,26.6,1008.9,91.0
2000-02-05 21:00:00,98444,1.0,-0.1277694685020316,EXTREME,extreme,23.8,1007.9,95.9
2000-02-06 00:00:00,98444,40.0,2.8592950381778817,EXTREME,catastrophic,24.5,1010.6,98.8
2000-02-07 09:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,28.0,1005.6,90.0
2000-02-07 12:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,26.4,1007.2,92.6
2000-02-08 00:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,24.8,1008.6,95.9
2000-02-08 06:00:00,98444,2.0,-0.05117807089485435,LOW,extreme,26.8,1007.2,88.3
2000-02-08 15:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,24.2,1010.4,93.0
2000-02-08 18:00:00,98444,2.0,-0.05117807089485435,LOW,extreme,23.6,1009.9,91.9
2000-02-09 00:00:00,98444,6.0,0.25518751953385477,LOW,extreme,22.5,1011.8,95.8
2000-02-10 00:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,26.0,1012.0,83.1
2000-02-10 03:00:00,98444,2.0,-0.05117807089485435,LOW,extreme,24.7,1012.7,93.1
2000-02-10 06:00:00,98444,4.0,0.1020047243195002,LOW,extreme,24.8,1011.2,97.1
2000-02-10 09:00:00,98444,21.0,1.4040584836415138,MODERATE,extreme,24.0,1011.3,98.8
2000-02-10 12:00:00,98444,53.0,3.8549832070711862,HIGH,catastrophic,22.4,1013.2,98.8
2000-02-10 15:00:00,98444,4.0,0.1020047243195002,HIGH,extreme,22.6,1013.5,97.0
2000-02-10 18:00:00,98444,4.0,0.1020047243195002,HIGH,extreme,23.3,1011.7,97.6
2000-02-11 00:00:00,98444,72.0,5.310219761607555,EXTREME,catastrophic,24.0,1012.3,97.0
2000-02-11 15:00:00,98444,3.0,0.025413326712322923,HIGH,extreme,24.9,1012.4,95.9
2000-02-11 18:00:00,98444,9.0,0.48496171235538654,HIGH,extreme,24.6,1010.7,97.0
2000-02-11 21:00:00,98444,2.0,-0.05117807089485435,HIGH,extreme,24.2,1010.2,97.0
2000-02-12 00:00:00,98444,14.0,0.867918700391273,MODERATE,extreme,24.8,1012.0,95.3
2000-02-12 18:00:00,98444,1.0,-0.1277694685020316,MODERATE,extreme,25.4,1010.3,96.5
2000-02-12 21:00:00,98444,2.0,-0.05117807089485435,MODERATE,extreme,24.8,1009.5,98.8
2000-02-13 00:00:00,98444,4.0,0.1020047243195002,MODERATE,extreme,26.0,1011.1,97.1
2000-02-14 00:00:00,98444,2.0,-0.05117807089485435,LOW,extreme,24.5,1010.5,95.3
2000-02-15 06:00:00,98444,5.0,0.17859612192667748,LOW,extreme,26.6,1009.9,95.4
2000-02-15 09:00:00,98444,10.0,0.5615531099625638,MODERATE,extreme,28.0,1008.7,84.8
2000-02-15 12:00:00,98444,10.0,0.5615531099625638,MODERATE,extreme,26.4,1011.8,89.3
2000-02-15 18:00:00,98444,2.0,-0.05117807089485435,MODERATE,extreme,25.1,1010.3,93.6
2000-02-16 00:00:00,98444,31.0,2.1699724597132866,HIGH,catastrophic,24.0,1011.3,97.0
2000-02-16 03:00:00,98444,16.0,1.0211014956056275,HIGH,extreme,25.3,1011.9,95.3
2000-02-16 09:00:00,98444,20.0,1.3274670860343365,HIGH,extreme,23.7,1009.5,97.0
2000-02-16 12:00:00,98444,32.0,2.2465638573204636,EXTREME,catastrophic,24.0,1011.7,97.0
2000-02-16 18:00:00,98444,70.0,5.1570369663932,EXTREME,catastrophic,23.3,1012.1,98.8
2000-02-16 21:00:00,98444,21.0,1.4040584836415138,EXTREME,extreme,23.5,1011.8,97.6
2000-02-17 00:00:00,98444,16.0,1.0211014956056275,EXTREME,extreme,24.4,1013.4,93.6
2000-02-17 06:00:00,98444,6.0,0.25518751953385477,EXTREME,extreme,25.8,1012.1,91.4
2000-02-18 00:00:00,98444,5.0,0.17859612192667748,LOW,extreme,24.6,1012.9,91.9
2000-02-18 03:00:00,98444,3.0,0.025413326712322923,LOW,extreme,25.4,1013.7,87.6
2000-02-18 09:00:00,98444,3.0,0.025413326712322923,LOW,extreme,26.6,1010.6,85.2
2000-02-18 12:00:00,98444,3.0,0.025413326712322923,LOW,extreme,26.4,1012.2,85.1
2000-02-19 00:00:00,98444,6.0,0.25518751953385477,MODERATE,extreme,25.8,1011.2,87.7
2000-02-19 12:00:00,98444,6.0,0.25518751953385477,MODERATE,extreme,25.0,1011.4,93.6
2000-02-20 00:00:00,98444,6.0,0.25518751953385477,MODERATE,extreme,26.4,1010.8,90.9
2000-02-20 12:00:00,98444,10.0,0.5615531099625638,MODERATE,extreme,26.0,1010.0,93.1
2000-02-20 18:00:00,98444,21.0,1.4040584836415138,MODERATE,extreme,25.0,1010.3,95.9
2000-02-20 21:00:00,98444,13.0,0.7913273027840957,HIGH,extreme,24.5,1011.1,97.6
2000-02-21 00:00:00,98444,40.0,2.8592950381778817,HIGH,catastrophic,25.0,1013.0,95.3
2000-02-21 03:00:00,98444,10.0,0.5615531099625638,HIGH,extreme,25.5,1013.8,95.9
2000-02-21 06:00:00,98444,15.0,0.9445100979984502,EXTREME,extreme,29.1,1010.3,85.9
2000-02-22 00:00:00,98444,15.0,0.9445100979984502,HIGH,extreme,26.4,1012.2,90.9
2000-02-24 12:00:00,98444,0.8,-0.14308774802346708,LOW,extreme,26.4,1011.3,92.6
2000-02-25 00:00:00,98444,8.0,0.4083703147482093,LOW,extreme,27.0,1011.7,91.0
2000-02-27 03:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,29.6,1014.1,74.6
2000-02-27 06:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,30.0,1011.4,74.6
2000-02-27 18:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,24.6,1012.4,95.3
2000-02-27 21:00:00,98444,5.0,0.17859612192667748,LOW,extreme,24.4,1011.9,95.3
2000-02-28 00:00:00,98444,18.0,1.174284290819982,MODERATE,extreme,25.0,1013.5,97.1
2000-02-28 03:00:00,98444,16.0,1.0211014956056275,MODERATE,extreme,24.5,1013.9,97.6
